date,store_id,store_city,store_location,product_id,product_name,category,unit_sale_price,unit_cost,units_sold,stock_on_hand,is_promo,day_of_week
2026-02-01,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,15,222,0,Sunday
2026-02-02,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,7,215,0,Monday
2026-02-03,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,3,212,0,Tuesday
2026-02-04,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,4,208,0,Wednesday
2026-02-05,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,5,203,0,Thursday
2026-02-06,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,9,194,0,Friday
2026-02-07,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,22,172,1,Saturday
2026-02-08,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,9,163,0,Sunday
2026-02-09,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,8,155,0,Monday
2026-02-10,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,8,147,0,Tuesday
2026-02-11,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,11,136,0,Wednesday
2026-02-12,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,4,132,0,Thursday
2026-02-13,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,13,119,0,Friday
2026-02-14,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,25,94,1,Saturday
2026-02-15,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,14,80,0,Sunday
2026-02-16,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,5,75,0,Monday
2026-02-17,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,12,63,0,Tuesday
2026-02-18,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,7,56,0,Wednesday
2026-02-19,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,4,52,0,Thursday
2026-02-20,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,7,45,0,Friday
2026-02-21,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,18,27,1,Saturday
2026-02-22,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,13,14,0,Sunday
2026-02-23,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,5,9,0,Monday
2026-02-24,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,8,1,0,Tuesday
2026-02-25,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,1,0,0,Wednesday
2026-02-26,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,0,0,0,Thursday
2026-02-27,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,0,0,0,Friday
2026-02-28,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,0,0,1,Saturday
2026-03-01,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,0,0,0,Sunday
2026-03-02,S01,Bucuresti,Baneasa,P100,Smartwatch X-Pro,Wearables,850,420,0,0,0,Monday
2026-02-01,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,14,219,0,Sunday
2026-02-02,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,9,210,0,Monday
2026-02-03,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,10,200,0,Tuesday
2026-02-04,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,8,192,0,Wednesday
2026-02-05,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,9,183,0,Thursday
2026-02-06,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,8,175,0,Friday
2026-02-07,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,12,163,0,Saturday
2026-02-08,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,14,149,0,Sunday
2026-02-09,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,14,135,0,Monday
2026-02-10,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,6,129,0,Tuesday
2026-02-11,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,6,123,0,Wednesday
2026-02-12,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,8,115,0,Thursday
2026-02-13,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,5,110,0,Friday
2026-02-14,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,14,96,0,Saturday
2026-02-15,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,8,88,0,Sunday
2026-02-16,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,11,77,0,Monday
2026-02-17,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,3,74,0,Tuesday
2026-02-18,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,6,68,0,Wednesday
2026-02-19,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,6,62,0,Thursday
2026-02-20,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,7,55,0,Friday
2026-02-21,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,13,42,0,Saturday
2026-02-22,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,13,29,0,Sunday
2026-02-23,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,7,22,0,Monday
2026-02-24,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,3,19,0,Tuesday
2026-02-25,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,5,14,0,Wednesday
2026-02-26,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,13,1,0,Thursday
2026-02-27,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,1,0,0,Friday
2026-02-28,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,0,0,0,Saturday
2026-03-01,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,0,0,0,Sunday
2026-03-02,S01,Bucuresti,Baneasa,P101,Wireless Earbuds NoiseCanc,Audio,450,180,0,0,0,Monday
2026-02-01,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,7,183,0,Sunday
2026-02-02,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,2,181,0,Monday
2026-02-03,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,3,178,0,Tuesday
2026-02-04,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,8,170,0,Wednesday
2026-02-05,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,6,164,0,Thursday
2026-02-06,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,2,162,0,Friday
2026-02-07,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,10,152,0,Saturday
2026-02-08,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,8,144,0,Sunday
2026-02-09,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,6,138,0,Monday
2026-02-10,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,6,132,0,Tuesday
2026-02-11,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,6,126,0,Wednesday
2026-02-12,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,9,117,0,Thursday
2026-02-13,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,4,113,0,Friday
2026-02-14,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,11,102,0,Saturday
2026-02-15,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,11,91,0,Sunday
2026-02-16,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,6,85,0,Monday
2026-02-17,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,9,76,0,Tuesday
2026-02-18,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,4,72,0,Wednesday
2026-02-19,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,1,71,0,Thursday
2026-02-20,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,6,65,0,Friday
2026-02-21,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,12,53,0,Saturday
2026-02-22,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,4,49,0,Sunday
2026-02-23,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,3,46,0,Monday
2026-02-24,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,5,41,0,Tuesday
2026-02-25,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,2,39,0,Wednesday
2026-02-26,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,2,37,0,Thursday
2026-02-27,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,5,32,0,Friday
2026-02-28,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,7,25,0,Saturday
2026-03-01,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,7,18,0,Sunday
2026-03-02,S01,Bucuresti,Baneasa,P102,PowerBank 20000mAh,Accessories,120,45,3,15,0,Monday
2026-02-01,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,6,189,0,Sunday
2026-02-02,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,1,188,0,Monday
2026-02-03,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,4,184,0,Tuesday
2026-02-04,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,6,178,0,Wednesday
2026-02-05,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,3,175,0,Thursday
2026-02-06,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,6,169,0,Friday
2026-02-07,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,4,165,0,Saturday
2026-02-08,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,6,159,0,Sunday
2026-02-09,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,8,151,0,Monday
2026-02-10,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,5,146,0,Tuesday
2026-02-11,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,4,142,0,Wednesday
2026-02-12,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,4,138,0,Thursday
2026-02-13,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,2,136,0,Friday
2026-02-14,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,13,123,0,Saturday
2026-02-15,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,7,116,0,Sunday
2026-02-16,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,3,113,0,Monday
2026-02-17,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,8,105,0,Tuesday
2026-02-18,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,6,99,0,Wednesday
2026-02-19,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,7,92,0,Thursday
2026-02-20,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,7,85,0,Friday
2026-02-21,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,7,78,0,Saturday
2026-02-22,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,8,70,0,Sunday
2026-02-23,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,4,66,0,Monday
2026-02-24,S01,Bucuresti,Baneasa,P103,Ergonomic Mouse,Peripherals,240,95,7,59,0,Tuesday
