date,store_id,product_id,units_sold,stock_on_hand
2026-02-13,Bucuresti (Baneasa),Iphone 15 Pro (P01),3,20
2026-02-14,Bucuresti (Baneasa),Iphone 15 Pro (P01),2,17
2026-02-15,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,15
2026-02-16,Bucuresti (Baneasa),Iphone 15 Pro (P01),2,14
2026-02-17,Bucuresti (Baneasa),Iphone 15 Pro (P01),3,12
2026-02-19,Bucuresti (Baneasa),Iphone 15 Pro (P01),2,9
2026-02-20,Bucuresti (Baneasa),Iphone 15 Pro (P01),2,7
2026-02-21,Bucuresti (Baneasa),Iphone 15 Pro (P01),5,5
2026-02-28,Bucuresti (Baneasa),Iphone 15 Pro (P01),5,27
2026-03-01,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,22
2026-03-02,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,21
2026-03-03,Bucuresti (Baneasa),Iphone 15 Pro (P01),2,20
2026-03-04,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,18
2026-03-06,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,17
2026-03-07,Bucuresti (Baneasa),Iphone 15 Pro (P01),3,16
2026-03-08,Bucuresti (Baneasa),Iphone 15 Pro (P01),4,13
2026-03-09,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,9
2026-03-10,Bucuresti (Baneasa),Iphone 15 Pro (P01),2,8
2026-03-12,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,6
2026-03-13,Bucuresti (Baneasa),Iphone 15 Pro (P01),4,5
2026-03-14,Bucuresti (Baneasa),Iphone 15 Pro (P01),1,1
2026-02-14,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,16
2026-02-16,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,15
2026-02-18,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),2,14
2026-02-19,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,12
2026-02-22,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,11
2026-02-24,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,10
2026-02-27,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,9
2026-02-28,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,8
2026-03-06,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),1,7
2026-03-14,Bucuresti (Baneasa),Iphone 15 Pro Max (P02),0,6
2026-02-13,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),5,17
2026-02-14,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),8,12
2026-02-15,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),4,4
2026-02-26,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),6,26
2026-02-27,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),8,20
2026-02-28,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),8,12
2026-03-01,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),4,4
2026-03-14,Bucuresti (Baneasa),Samsung Galaxy S24 Ultra (P03),0,0
2026-02-13,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),7,30
2026-02-14,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),8,23
2026-02-15,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),5,15
2026-02-16,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),9,10
2026-02-17,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),1,1
2026-03-02,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),9,10
2026-03-03,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),1,1
2026-03-14,Bucuresti (Baneasa),Samsung Galaxy A54 (P04),0,0
2026-02-14,Bucuresti (Baneasa),MacBook Air M2 (P05),1,26
2026-02-15,Bucuresti (Baneasa),MacBook Air M2 (P05),4,25
2026-02-17,Bucuresti (Baneasa),MacBook Air M2 (P05),1,21
2026-02-18,Bucuresti (Baneasa),MacBook Air M2 (P05),1,20
2026-02-21,Bucuresti (Baneasa),MacBook Air M2 (P05),2,19
2026-02-22,Bucuresti (Baneasa),MacBook Air M2 (P05),2,17
2026-03-01,Bucuresti (Baneasa),MacBook Air M2 (P05),1,15
2026-03-02,Bucuresti (Baneasa),MacBook Air M2 (P05),1,14
2026-03-03,Bucuresti (Baneasa),MacBook Air M2 (P05),1,13
2026-03-04,Bucuresti (Baneasa),MacBook Air M2 (P05),1,12
2026-03-05,Bucuresti (Baneasa),MacBook Air M2 (P05),2,11
2026-03-06,Bucuresti (Baneasa),MacBook Air M2 (P05),1,9
2026-03-08,Bucuresti (Baneasa),MacBook Air M2 (P05),3,8
2026-03-10,Bucuresti (Baneasa),MacBook Air M2 (P05),1,5
2026-03-11,Bucuresti (Baneasa),MacBook Air M2 (P05),1,4
2026-03-14,Bucuresti (Baneasa),MacBook Air M2 (P05),0,3
2026-03-01,Bucuresti (Baneasa),MacBook Pro 14 M3 (P06),1,27
2026-03-14,Bucuresti (Baneasa),MacBook Pro 14 M3 (P06),0,26
2026-02-13,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),4,19
2026-02-14,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),6,15
2026-02-15,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),6,9
2026-02-16,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),3,3
2026-03-05,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),3,28
2026-03-06,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),1,25
2026-03-07,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),4,24
2026-03-08,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),4,20
2026-03-09,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),5,16
2026-03-11,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),3,11
2026-03-12,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),3,8
2026-03-13,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),2,5
2026-03-14,Bucuresti (Baneasa),Lenovo IdeaPad 3 (P07),2,3
2026-02-13,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),3,13
2026-02-14,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),4,10
2026-02-15,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),6,6
2026-02-24,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),2,28
2026-02-25,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),4,26
2026-02-26,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),4,22
2026-02-27,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),2,18
2026-02-28,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),4,16
2026-03-01,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),4,12
2026-03-02,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),4,8
2026-03-03,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),1,4
2026-03-04,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),3,3
2026-03-10,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),5,14
2026-03-11,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),6,9
2026-03-13,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),2,3
2026-03-14,Bucuresti (Baneasa),ASUS ROG Strix G15 (P08),9,27
2026-02-13,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,39
2026-02-15,Bucuresti (Baneasa),iPad Air 5th Gen (P09),1,37
2026-02-19,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,36
2026-02-20,Bucuresti (Baneasa),iPad Air 5th Gen (P09),3,34
2026-02-21,Bucuresti (Baneasa),iPad Air 5th Gen (P09),3,31
2026-02-22,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,28
2026-02-23,Bucuresti (Baneasa),iPad Air 5th Gen (P09),1,26
2026-02-27,Bucuresti (Baneasa),iPad Air 5th Gen (P09),3,25
2026-03-01,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,22
2026-03-03,Bucuresti (Baneasa),iPad Air 5th Gen (P09),1,20
2026-03-04,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,19
2026-03-05,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,17
2026-03-06,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,15
2026-03-07,Bucuresti (Baneasa),iPad Air 5th Gen (P09),1,13
2026-03-08,Bucuresti (Baneasa),iPad Air 5th Gen (P09),1,12
2026-03-09,Bucuresti (Baneasa),iPad Air 5th Gen (P09),1,11
2026-03-11,Bucuresti (Baneasa),iPad Air 5th Gen (P09),2,10
2026-03-14,Bucuresti (Baneasa),iPad Air 5th Gen (P09),1,8
2026-02-13,Bucuresti (Baneasa),Samsung Tab S9 (P10),1,25
2026-02-14,Bucuresti (Baneasa),Samsung Tab S9 (P10),5,24
2026-02-15,Bucuresti (Baneasa),Samsung Tab S9 (P10),6,19
2026-02-16,Bucuresti (Baneasa),Samsung Tab S9 (P10),7,13
2026-02-17,Bucuresti (Baneasa),Samsung Tab S9 (P10),2,6
2026-02-18,Bucuresti (Baneasa),Samsung Tab S9 (P10),1,4
2026-02-19,Bucuresti (Baneasa),Samsung Tab S9 (P10),3,3
2026-02-20,Bucuresti (Baneasa),Samsung Tab S9 (P10),3,22
2026-02-21,Bucuresti (Baneasa),Samsung Tab S9 (P10),3,19
2026-02-22,Bucuresti (Baneasa),Samsung Tab S9 (P10),6,16
2026-02-23,Bucuresti (Baneasa),Samsung Tab S9 (P10),2,10
2026-02-24,Bucuresti (Baneasa),Samsung Tab S9 (P10),2,8
2026-02-25,Bucuresti (Baneasa),Samsung Tab S9 (P10),3,6
