from_store,to_store,transport_cost_fixed,transport_cost_per_unit
S1,S2,6,0.69
S1,S3,16,1.07
S1,S4,6,0.38
S1,S5,15,1.18
S1,S6,16,1.01
S1,S7,16,0.42
S1,S8,17,0.63
S1,S9,11,1.13
S1,S10,16,1.04
S2,S1,14,0.7
S2,S3,11,0.8
S2,S4,8,0.36
S2,S5,17,0.87
S2,S6,17,0.98
S2,S7,15,1.17
S2,S8,10,1.1
S2,S9,15,0.48
S2,S10,16,0.72
S3,S1,12,0.44
S3,S2,5,0.91
S3,S4,18,1.17
S3,S5,16,0.59
S3,S6,18,0.72
S3,S7,10,0.47
S3,S8,11,0.73
S3,S9,6,0.5
S3,S10,13,0.69
S4,S1,15,1.05
S4,S2,14,0.58
S4,S3,15,1.05
S4,S5,11,0.65
S4,S6,17,0.56
S4,S7,8,0.43
S4,S8,15,0.48
S4,S9,17,1.01
S4,S10,5,0.9
S5,S1,12,1.0
S5,S2,15,0.71
S5,S3,12,0.43
S5,S4,13,0.4
S5,S6,11,0.72
S5,S7,15,0.81
S5,S8,6,0.87
S5,S9,16,0.8
S5,S10,6,0.57
S6,S1,13,0.33
S6,S2,10,0.49
S6,S3,11,0.67
S6,S4,19,0.51
S6,S5,17,0.35
S6,S7,17,0.56
S6,S8,9,0.9
S6,S9,6,1.01
S6,S10,13,0.9
S7,S1,11,1.03
S7,S2,11,0.45
S7,S3,10,0.38
S7,S4,5,0.95
S7,S5,15,0.45
S7,S6,11,0.75
S7,S8,19,0.93
S7,S9,7,0.7
S7,S10,7,0.57
S8,S1,10,0.87
S8,S2,14,0.38
S8,S3,10,0.41
S8,S4,10,1.12
S8,S5,19,0.93
S8,S6,11,1.17
S8,S7,8,1.0
S8,S9,8,0.7
S8,S10,15,0.55
S9,S1,6,1.11
S9,S2,6,0.71
S9,S3,15,0.58
S9,S4,8,0.82
S9,S5,13,1.07
S9,S6,7,0.98
S9,S7,12,0.69
S9,S8,15,0.86
S9,S10,7,0.88
S10,S1,13,0.38
S10,S2,16,0.34
S10,S3,11,0.74
S10,S4,7,0.43
S10,S5,9,0.39
S10,S6,7,0.45
S10,S7,13,1.13
S10,S8,19,0.61
S10,S9,13,0.83
